particle,mean_vx_px_per_frame,mean_vy_px_per_frame,mean_speed_px_per_frame,n_steps,rms_residual_speed_px_per_frame,mean_vx_px_per_s,mean_vy_px_per_s,mean_speed_px_per_s,mean_vx_um_per_s,mean_vy_um_per_s,mean_speed_um_per_s,rms_residual_speed_px_per_s,rms_residual_speed_um_per_s,D_m2_per_s,k_B_est_J_per_K,k_B_ratio_to_accepted
96,0.05441539916297258,0.10639708631636798,0.5819771368517893,174,0.6716762475443446,1.889411489736734,3.694319631076929,20.20741014576783,0.4723528724341835,0.9235799077692323,5.051852536441958,23.321942667234737,5.830485666808684,,,
97,0.060948887823090214,0.09717848029506623,0.6117128371328072,205,0.7095961525976803,2.1162672829933387,3.37423119280529,21.23989313092533,0.5290668207483347,0.8435577982013225,5.309973282731333,24.638597610496657,6.159649402624164,,,
98,-0.03818210361368983,-0.005231552516891368,0.6235766803003349,35,0.9218921899201715,-1.3257590016745384,-0.18164996649150209,21.651829493388227,-0.3314397504186346,-0.04541249162287552,5.412957373347057,32.009940618408194,8.002485154602049,,,
99,-0.009323892999391778,-0.0006358811524242055,0.329204440966943,89,0.4590080794651745,-0.32374421272488135,-0.022079065374473263,11.430636599254196,-0.08093605318122034,-0.005519766343618316,2.857659149813549,15.937678535189791,3.984419633797448,,,
100,0.02200035212450189,0.08361254804820532,0.3492233294107504,20,0.3678354408393368,0.7638962264669547,2.9031948933297853,12.125732443800077,0.19097405661673866,0.7257987233324463,3.031433110950019,12.771982176823451,3.192995544205863,,,
103,0.013109052052227751,0.07832502264827923,0.46792679230283857,24,0.5266791170664857,0.455172505357452,2.7196014363935515,16.24735408233916,0.113793126339363,0.6799003590983879,4.06183852058479,18.28735230278252,4.57183807569563,,,
104,-4.4327942283470744e-05,4.248012664965494e-05,0.7481625116726295,1227,1.2878972669904485,-0.0015391548119666712,0.001474994957529319,25.977698730297043,-0.0003847887029916678,0.00036874873938232974,6.494424682574261,44.71836890444236,11.17959222611059,,,
105,-0.0063632915444960195,-0.02642213463267988,0.3070328667561143,137,0.5300598694755634,-0.2209462090079908,-0.9174293587159108,10.6607951995058,-0.0552365522519977,-0.2293573396789777,2.66519879987645,18.404738787930512,4.601184696982628,,,
106,-0.006825562892450491,0.015466203967847389,0.9776451689302047,121,1.360744718599137,-0.23699719475166597,0.537017534171597,33.94579555559457,-0.05924929868791649,0.13425438354289926,8.486448888898643,47.24777811919924,11.81194452979981,,,
107,-0.0569314058019788,0.11157948807446812,1.011585378300905,72,1.3345496446545988,-1.976772272256308,3.8742629849216823,35.124267505364024,-0.494193068064077,0.9685657462304206,8.781066876341006,46.33823276169698,11.584558190424245,,,
109,-3.5516747086701784e-05,-7.701554618286117e-05,0.4825645422273159,1227,0.6237464285361493,-0.0012332124923444595,-0.0026741337945613056,16.75560603521686,-0.0003083031230861149,-0.0006685334486403264,4.188901508804215,21.657723491632176,5.414430872908044,,,
110,0.13619899384967726,0.23353557773510053,1.0147889656829014,377,1.2513229783604891,4.729101464448494,8.10882233011816,35.23550246644171,1.1822753661121235,2.02720558252954,8.808875616610427,43.448436454632905,10.862109113658226,,,
111,0.12697118849590613,0.21388168146846326,0.7456380498526128,1225,0.8471769929827623,4.408693606954853,7.426399743947981,25.890044366982423,1.1021734017387133,1.8565999359869954,6.472511091745606,29.415679550347473,7.353919887586868,,,
112,-0.004560569858354787,0.018707134131685167,0.11725179441501364,60,0.1765688878824622,-0.1583521066217949,0.6495491113203724,4.0712168056781035,-0.03958802665544873,0.1623872778300931,1.0178042014195259,6.130824925054853,1.5327062312637132,,,
113,-7.486901169134389e-05,0.00011452879732333951,0.10977421330494123,398,0.2510121475774209,-0.0025996018239468426,0.003976668900660995,3.8115802343741696,-0.0006499004559867107,0.0009941672251652487,0.9528950585935424,8.71564378818321,2.1789109470458023,,,
114,0.030819909139097747,0.05669199202217144,0.5051247131523718,1215,0.585934618529485,1.070128885127752,1.968459346993837,17.538940290076656,0.267532221281938,0.49211483674845924,4.384735072519164,20.34482182458078,5.086205456145195,,,
115,0.13766761176570957,0.06835631682615204,0.5801951634010393,76,0.7074037900759673,4.780094815728968,2.373468032837651,20.145536463610885,1.195023703932242,0.5933670082094128,5.036384115902721,24.562474399017738,6.1406185997544345,,,
116,-5.180694966399191e-05,-0.0006228936832179173,0.30944897215491635,1227,0.39413898189229624,-0.001798840906233127,-0.021628114468692523,10.744687211163006,-0.00044971022655828177,-0.005407028617173131,2.6861718027907515,13.68529372926431,3.4213234323160777,,,
117,0.13865077880403257,0.22778001086904007,0.9447691598170607,187,1.2049283265841682,4.814232341633619,7.90897753739481,32.80427476716798,1.2035580854084047,1.9772443843487024,8.201068691791995,41.83752135565549,10.459380338913872,,,
